storeId,name,location,review count,average rating,phone,workHours,category
67,Owl Koukouvagia,Riga Feraiou 140 Patra 262 21,1413.0,4.3,261 550 0505 +30 261 550 0505,Triti: [7:00 a.m.-3:00 a.m.] Tetarti: [7:00 a.m.-3:00 a.m.] Pempti: [7:00 a.m.-3:00 a.m.] Paraskefi: [7:00 a.m.-3:00 a.m.] Savvato: [8:00 a.m.-3:00 a.m.] Kyriaki: [8:00 a.m.-3:00 a.m.] Deftera: [7:00 a.m.-3:00 a.m.],italian
68,Bonasera,Konstantinoupoleos 24 Patra 262 23,4.0,5.0,,,italian
69,Gastronomos,Agiou Andreou 61 Patra 262 21,106.0,4.2,261 027 2272 +30 261 027 2272,Triti: [12:00 p.m.-12:30 a.m.] Tetarti: [12:00 p.m.-12:30 a.m.] Pempti: [12:00 p.m.-12:30 a.m.] Paraskefi: [12:00 p.m.-12:30 a.m.] Savvato: [12:00 p.m.-12:30 a.m.] Kyriaki: [12:00 p.m.-12:30 a.m.] Deftera: [12:00 p.m.-12:30 a.m.],italian
70,Pachuco,13 Vourvachi 1 Patra 262 21,174.0,4.2,261 302 5856 +30 261 302 5856,Triti: [1:00 p.m.-2:00 a.m.] Tetarti: [1:00 p.m.-2:00 a.m.] Pempti: [1:00 p.m.-2:00 a.m.] Paraskefi: [1:00 p.m.-2:00 a.m.] Savvato: [10:00 a.m.-2:00 a.m.] Kyriaki: [10:00 a.m.-2:00 a.m.] Deftera: [1:00 p.m.-2:00 a.m.],mexican
71,Parati,Ifaistou 12 Patra 262 25,88.0,4.5,261 027 2954 +30 261 027 2954,,mexican
72,CHOPEATO,ALONNISOU 81 Patra 263 34,3.0,5.0,261 031 1132 +30 261 031 1132,,mexican
73,O Barmpagiannis,Pantanassis 3 Patra 262 21,603.0,4.4,261 062 5221 +30 261 062 5221,Triti: [12:00 p.m.-2:00 a.m.] Tetarti: [12:00 p.m.-2:00 a.m.] Pempti: [12:00 p.m.-2:00 a.m.] Paraskefi: [12:00 p.m.-2:00 a.m.] Savvato: [12:00 p.m.-2:00 a.m.] Kyriaki: [12:00 p.m.-2:00 a.m.] Deftera: [12:00 p.m.-2:00 a.m.],mexican
74,Kantina,Gerokostopoulou 39 Patra 262 25,87.0,4.8,261 110 4226 +30 261 110 4226,Triti: [8:00 p.m.-3:00 a.m.] Tetarti: [8:00 p.m.-3:00 a.m.] Pempti: [8:00 p.m.-3:00 a.m.] Paraskefi: [5:30 p.m.-5:00 a.m.] Savvato: [8:00 p.m.-5:00 a.m.] Kyriaki: [8:00 p.m.-3:00 a.m.] Deftera: [8:00 p.m.-3:00 a.m.],mexican
75,Mexican Bulldog,Noti Botsari 27 Nafpaktos 303 00,218.0,4.8,2634 029339 +30 2634 029339,Triti: [6:00 p.m.-12:00 a.m.] Tetarti: [6:00 p.m.-12:00 a.m.] Pempti: [6:00 p.m.-12:00 a.m.] Paraskefi: [6:00 p.m.-1:00 a.m.] Savvato: [6:00 p.m.-1:00 a.m.] Kyriaki: [6:00 p.m.-12:30 a.m.] Deftera: [6:00 p.m.-12:00 a.m.],mexican
76,México Mi Amor,Tsakalof 10 Athina 106 73,237.0,4.2,698 745 4777 +30 698 745 4777,Triti: [9:00 a.m.-5:00 a.m.] Tetarti: [9:00 a.m.-5:00 a.m.] Pempti: [9:00 a.m.-5:00 a.m.] Paraskefi: [9:00 a.m.-5:00 a.m.] Savvato: [9:00 a.m.-5:00 a.m.] Kyriaki: [9:00 a.m.-3:00 a.m.] Deftera: [9:00 a.m.-5:00 a.m.],mexican
77,Mr Burger,Kolokotroni 5 Patra 262 21,1718.0,4.3,261 027 9900 +30 261 027 9900,Triti: [1:00 p.m.-12:00 a.m.] Tetarti: [1:00 p.m.-12:00 a.m.] Pempti: [1:00 p.m.-12:00 a.m.] Paraskefi: [1:00 p.m.-12:00 a.m.] Savvato: [1:00 p.m.-12:00 a.m.] Kyriaki: [1:00 p.m.-12:00 a.m.] Deftera: [1:00 p.m.-12:00 a.m.],mexican
78,PALOS DE MOGUER,Argasi 291 00,151.0,4.4,,Triti: [5:00 p.m.-12:00 a.m.] Tetarti: [5:00 p.m.-12:00 a.m.] Pempti: [5:00 p.m.-12:00 a.m.] Paraskefi: [5:00 p.m.-12:00 a.m.] Savvato: [5:00 p.m.-12:00 a.m.] Kyriaki: [5:00 p.m.-12:00 a.m.] Deftera: [5:00 p.m.-12:00 a.m.],mexican
79,Mamacita - Taquería y Coctelería,Apollonos 9V Athina 105 57,2528.0,4.3,21 0321 0240 +30 21 0321 0240,Triti: [11:30 a.m.-12:00 a.m.] Tetarti: [11:30 a.m.-12:00 a.m.] Pempti: [11:30 a.m.-12:00 a.m.] Paraskefi: [11:30 a.m.-12:30 a.m.] Savvato: [11:30 a.m.-12:30 a.m.] Kyriaki: [11:30 a.m.-12:00 a.m.] Deftera: [11:30 a.m.-12:00 a.m.],mexican
80,GLYKOTECHNIES,Norman 50 Patra 262 23,174.0,4.6,261 043 7003 +30 261 043 7003,Triti: [8:00 a.m.-11:00 p.m.] Tetarti: [8:00 a.m.-11:00 p.m.] Pempti: [8:00 a.m.-11:00 p.m.] Paraskefi: [8:00 a.m.-11:00 p.m.] Savvato: [8:00 a.m.-11:00 p.m.] Kyriaki: [8:00 a.m.-11:00 p.m.] Deftera: [8:00 a.m.-11:00 p.m.],patisserie
81,LIBERIS psomi glyko chondriki polisi,Al. Papanastasiou 16 Patra 263 33,1.0,5.0,2693 024772 +30 2693 024772,Triti: [2:15 a.m.-1:00 p.m.] Tetarti: [2:15 a.m.-1:00 p.m.] Pempti: [2:15 a.m.-1:00 p.m.] Paraskefi: [2:15 a.m.-1:00 p.m.] Savvato: [2:00 a.m.-1:00 p.m.] Kyriaki: [Kleista] Deftera: [2:15 a.m.-1:00 p.m.],patisserie
82,Arxontoula Cakes,Messatidos kai 6ou Syntagmatos 19 Patra 263 31,72.0,4.8,261 301 9299 +30 261 301 9299,Triti: [9:00 a.m.-9:00 p.m.] Tetarti: [9:00 a.m.-9:00 p.m.] Pempti: [9:00 a.m.-9:00 p.m.] Paraskefi: [9:00 a.m.-9:00 p.m.] Savvato: [9:00 a.m.-6:00 p.m.] Kyriaki: [Kleista] Deftera: [9:00 a.m.-9:00 p.m.],patisserie
83,Sweet day,Erenstrole 7 Patra 262 24,66.0,4.7,261 027 3757 +30 261 027 3757,Triti: [8:00 a.m.-11:30 p.m.] Tetarti: [8:00 a.m.-11:30 p.m.] Pempti: [8:00 a.m.-11:30 p.m.] Paraskefi: [8:00 a.m.-11:30 p.m.] Savvato: [8:00 a.m.-11:30 p.m.] Kyriaki: [12:00-11:30 p.m.] Deftera: [8:00 a.m.-11:30 p.m.],patisserie
84,El gato negro patra,Patreos 63 Patra 262 21,38.0,4.8,261 302 5457 +30 261 302 5457,Triti: [10:00 a.m.-9:00 p.m.] Tetarti: [10:00 a.m.-9:00 p.m.] Pempti: [10:00 a.m.-9:00 p.m.] Paraskefi: [10:00 a.m.-9:00 p.m.] Savvato: [10:00 a.m.-9:00 p.m.] Kyriaki: [10:00 a.m.-9:00 p.m.] Deftera: [Kleista],patisserie
85,Sweet Forest,Pl. Geor. A 29 Patra 262 21,27.0,4.5,261 027 1020 +30 261 027 1020,,patisserie
86,LOTSARI AFOI O.E.,Maizonos 124 Patra 262 22,595.0,4.6,261 032 3230 +30 261 032 3230,Triti: [7:30 a.m.-11:00 p.m.] Tetarti: [7:30 a.m.-11:00 p.m.] Pempti: [7:30 a.m.-11:00 p.m.] Paraskefi: [7:30 a.m.-11:00 p.m.] Savvato: [7:30 a.m.-11:00 p.m.] Kyriaki: [7:30 a.m.-11:00 p.m.] Deftera: [7:30 a.m.-11:00 p.m.],patisserie
87,Lotsaris,Gerokostopoulou 23 Patra 262 21,420.0,4.5,261 027 2555 +30 261 027 2555,Triti: [7:00 a.m.-9:00 p.m.] Tetarti: [7:00 a.m.-9:00 p.m.] Pempti: [7:00 a.m.-9:00 p.m.] Paraskefi: [7:00 a.m.-9:00 p.m.] Savvato: [7:00 a.m.-9:00 p.m.] Kyriaki: [7:00 a.m.-9:00 p.m.] Deftera: [7:00 a.m.-9:00 p.m.],patisserie
88,Caravel,Plateia Vasileos Georgiou A΄ 11 Patra 262 21,837.0,4.3,261 022 4224 +30 261 022 4224,Triti: [7:00 a.m.-3:00 a.m.] Tetarti: [7:00 a.m.-3:00 a.m.] Pempti: [7:00 a.m.-3:00 a.m.] Paraskefi: [7:00 a.m.-3:00 a.m.] Savvato: [7:00 a.m.-3:00 a.m.] Kyriaki: [7:00 a.m.-3:00 a.m.] Deftera: [7:00 a.m.-3:00 a.m.],patisserie
89,Zacherino,Notara 42 Patra 264 42,224.0,4.4,261 042 7979 +30 261 042 7979,Triti: [9:00 a.m.-11:00 p.m.] Tetarti: [9:00 a.m.-11:00 p.m.] Pempti: [9:00 a.m.-11:00 p.m.] Paraskefi: [9:00 a.m.-11:00 p.m.] Savvato: [9:00 a.m.-11:00 p.m.] Kyriaki: [9:00 a.m.-11:00 p.m.] Deftera: [9:00 a.m.-11:00 p.m.],patisserie
